10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015.0,2016,2017,2018.0,2019,2020,2021,2022
Indicator,,,,,,,,,,,,,,,,,,,,,,,
10.1.1.1 Bottom 40 percent of the population,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.4067378551130325,..,..,9.26101763366185,..,..,...,...
..National Capital Region (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.88348589799268,..,..,7.0857819830576485,..,..,...,...
..Cordillera Administrative Region (CAR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.635383363697023,..,..,9.647947866217322,..,..,...,...
..Region I,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.453735627872171,..,..,11.312069049301332,..,..,...,...
..Region II,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.900391133580342,..,..,4.499523261582428,..,..,...,...
..Region III,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.519357420226868,..,..,8.215452435312521,..,..,...,...
..Region IV-A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.307003995955918,..,..,9.511903003591705,..,..,...,...
..MIMAROPA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.530951778091579,..,..,10.132831197978852,..,..,...,...
..Region V,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.240400919775848,..,..,8.730943429022119,..,..,...,...
..Region VI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.042916791588684,..,..,8.430301805565277,..,..,...,...
..Region VII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.546146706112088,..,..,14.0630130453411,..,..,...,...
..Region VIII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.02784582807865,..,..,9.328772062969982,..,..,...,...
..Region IX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.96018839775521,..,..,6.985012062105822,..,..,...,...
..Region X,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.843058607312513,..,..,12.69661390560628,..,..,...,...
..Region XI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.438387513817094,..,..,6.7630974960369405,..,..,...,...
..Region XII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.068206509989827,..,..,12.28818368025475,..,..,...,...
..Caraga,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.6034334242448525,..,..,8.021146423066238,..,..,...,...
..BARMM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.8766874106698204,..,..,5.923816866112208,..,..,...,...
10.1.1.2 Total Population,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.045087494997125,..,..,6.522713732982965,..,..,...,...
..National Capital Region (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.57026787981758,..,..,3.8448804079564525,..,..,...,...
..Cordillera Administrative Region (CAR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6583278660505352,..,..,10.50268590274419,..,..,...,...
..Region I,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.572706524928737,..,..,9.985571854831532,..,..,...,...
..Region II,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.312018294054079,..,..,5.014911273648059,..,..,...,...
..Region III,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.508813250271971,..,..,5.008588120050272,..,..,...,...
..Region IV-A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.059652826836557,..,..,7.614648279746583,..,..,...,...
..MIMAROPA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.318982872877823,..,..,5.518178024502451,..,..,...,...
..Region V,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.213290147821392,..,..,9.110867775072617,..,..,...,...
..Region VI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9015355754320673,..,..,7.77713253669563,..,..,...,...
..Region VII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.114198811093874,..,..,10.424737109032268,..,..,...,...
..Region VIII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.861243206150647,..,..,6.4311695122207135,..,..,...,...
..Region IX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.322664550259449,..,..,5.659603426742188,..,..,...,...
..Region X,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.981041589722214,..,..,5.642720391588263,..,..,...,...
..Region XI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.47042586651059,..,..,4.445816235369016,..,..,...,...
..Region XII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.130973574266085,..,..,8.80223757797538,..,..,...,...
..Caraga,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.195769997162314,..,..,6.103810701747436,..,..,...,...
..BARMM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5507239344027424,..,..,6.2167612079545576,..,..,...,...
,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available,,,,,,,,,,,,,,,,,,,,,,,
... - Data not yet available,,,,,,,,,,,,,,,,,,,,,,,
1/ - The data is a special computation made by the PSA Technical Staff using Family Income and Expenditure Survey.,,,,,,,,,,,,,,,,,,,,,,,
