16.1.s1 Number of murder cases,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022
Geolocation,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12417.0,9009.0,6877.0,6073.0,5170.0,4845.0,...
..National Capital Region (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2318.0,1543.0,733.0,630.0,658.0,496.0,...
..Cordillera Administrative Region (CAR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180.0,60.0,71.0,86.0,65.0,49.0,...
..Region I,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,560.0,322.0,230.0,185.0,154.0,148.0,...
..Region II,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,321.0,262.0,209.0,167.0,117.0,102.0,...
..Region III,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1110.0,718.0,443.0,424.0,301.0,315.0,...
..Region IV-A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1628.0,1371.0,977.0,829.0,641.0,676.0,...
..MIMAROPA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,219.0,162.0,161.0,129.0,120.0,108.0,...
..Region V,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,473.0,414.0,408.0,300.0,276.0,227.0,...
..Region VI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,542.0,479.0,447.0,428.0,432.0,386.0,...
..Region VII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,788.0,622.0,710.0,615.0,467.0,407.0,...
..Region VIII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,466.0,369.0,315.0,317.0,291.0,263.0,...
..Region IX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,582.0,361.0,339.0,288.0,223.0,236.0,...
..Region X,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,768.0,441.0,365.0,357.0,253.0,285.0,...
..Region XI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,804.0,740.0,543.0,462.0,363.0,356.0,...
..Region XII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,651.0,366.0,268.0,255.0,187.0,201.0,...
..Caraga,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,424.0,335.0,286.0,228.0,221.0,217.0,...
..BARMM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,583.0,444.0,372.0,373.0,401.0,373.0,...
,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available,,,,,,,,,,,,,,,,,,,,,,,
