"Population, by Region"

"Region";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"..National Capital Region (NCR)";9961971;10153254;10344788;10536574;10729137;10921427;11113967;11306759;11500331;11693627;11887173;12080971;12275553;12469854;12664407;12859211;13066832;13264805;13453701;13633497;13804656
"..Cordillera Administrative Region (CAR)";1369249;1397362;1424800;1451561;1477718;1503126;1527858;1551914;1575358;1598061;1620087;1641438;1662169;1682167;1701488;1720134;1739380;1757717;1775210;1791881;1807738
"..Region I (Ilocos Region)";4209083;4265007;4320673;4376079;4431377;4486265;4540893;4595262;4649520;4703370;4756961;4810293;4863510;4916323;4968877;5021171;5076184;5128542;5178410;5225800;5270807
"..Region II (Cagayan Valley)";2819641;2860861;2902169;2943564;2985160;3026730;3068387;3110132;3152079;3193998;3236006;3278100;3320398;3362667;3405024;3447468;3493662;3537703;3579715;3619689;3657741
"..Region III (Central Luzon)";8233671;8420004;8607944;8797491;8989170;9181933;9376303;9572279;9770406;9969599;10170399;10372806;10577379;10783003;10990233;11199069;11437442;11667642;11890314;12105494;12313718
"..Region IV-A (CALABARZON)";9367205;9687547;10009909;10334289;10661585;10990009;11320451;11652912;11988312;12324816;12663339;13003881;13347384;13691969;14038573;14387196;14741686;15085285;15418944;15742673;16057299
"..MIMAROPA Region";2305919;2352183;2398060;2443548;2488772;2533484;2577808;2621744;2665411;2708570;2751341;2793725;2835835;2877441;2918660;2959491;3006430;3051342;3094357;3135503;3174859
"..Region V (Bicol Region)";4698058;4772451;4846614;4920546;4994449;5067918;5141157;5214165;5287141;5359687;5432002;5504085;5576135;5647756;5719147;5790307;5865520;5937321;6005949;6071398;6133836
"..Region VI (Western Visayas)";6224949;6317904;6409990;6501206;6591799;6681274;6769880;6857616;6944719;7030714;7115840;7200096;7283710;7366225;7447870;7528646;7610389;7688734;7763898;7835883;7904899
"..Region VII (Central Visayas)";5723559;5830498;5937986;6046025;6154912;6264053;6373743;6483984;6595079;6706422;6818314;6930757;7044060;7157605;7271699;7386344;7511565;7631003;7745017;7853606;7957046
"..Region VIII (Eastern Visayas)";3618043;3658304;3700580;3744872;3791309;3839638;3889981;3942341;3996867;4053263;4111674;4172100;4234716;4299179;4365658;4434152;4495990;4557614;4619183;4680701;4742337
"..Region IX (Zamboanga Peninsula)";2840160;2906575;2970981;3033380;3093932;3152309;3208677;3263037;3315530;3365869;3414199;3460521;3504953;3547254;3587546;3625830;3660328;3693191;3724550;3754387;3782761
"..Region X (Northern Mindanao)";3517631;3599472;3680709;3761342;3841588;3921010;3999827;4078040;4155859;4232861;4309258;4385050;4460443;4535025;4609002;4682374;4755673;4825658;4892512;4956259;5017051
"..Region XI (Davao Region)";3688138;3766504;3845076;3923852;4003049;4082235;4161626;4241222;4321241;4401248;4481458;4561874;4642716;4723542;4804572;4885808;4967320;5048419;5129342;5210081;5290869
"..Region XII (SOCCSKSARGEN)";2980515;3054507;3128080;3201234;3274168;3346482;3418378;3489855;3561107;3631744;3701963;3771762;3841332;3910293;3978834;4046956;4120287;4190004;4256317;4319226;4378871
"..Region XIII (Caraga)";2100540;2134809;2168877;2202744;2236502;2269967;2303231;2336294;2369246;2401907;2434366;2466625;2498771;2530627;2562283;2593738;2627491;2660236;2692072;2723012;2753109
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";3064720;3096339;3134866;3180302;3232800;3292071;3358251;3431340;3511566;3598490;3692323;3793064;3901019;4015596;4137081;4265476;4354017;4444014;4535689;4629060;4724381
"Philippines";76723051;78273584;79832103;81398610;82977428;84559930;86150420;87748896;89359772;90974244;92596704;94227150;95870083;97516526;99170955;100833371;102530196;104169230;105755180;107288150;108771978
