Geolocation,Both Sexes 2006,Both Sexes 2007,Both Sexes 2008,Both Sexes 2009,Both Sexes 2010,Both Sexes 2011,Both Sexes 2012,Both Sexes 2013,Both Sexes 2014,Both Sexes 2015,Boys 2006,Boys 2007,Boys 2008,Boys 2009,Boys 2010,Boys 2011,Boys 2012,Boys 2013,Boys 2014,Boys 2015,Girls 2006,Girls 2007,Girls 2008,Girls 2009,Girls 2010,Girls 2011,Girls 2012,Girls 2013,Girls 2014,Girls 2015
PHILIPPINES,6.37,5.99,6.02,6.28,6.29,6.36,6.24,4.85,3.26,2.69,7.64,7.17,7.07,7.52,7.45,7.45,7.25,5.59,3.7,3.3,5.0,4.72,4.87,4.93,5.02,5.18,5.12,4.04,2.77,2.01
NCR: National Capital Region,2.37,2.83,2.92,4.07,3.31,2.93,4.1,4.36,4.25,2.05,2.98,3.72,3.43,4.75,4.03,3.86,4.88,4.89,4.86,2.61,1.46,1.8,2.13,3.33,2.53,2.42,3.27,3.78,3.6,1.45
CAR: Cordillera Administrative Region,5.67,6.41,5.49,5.04,6.0,4.91,4.79,3.75,2.84,1.9,6.96,7.59,6.67,6.41,6.96,6.1,5.7,4.28,3.5,2.39,4.23,5.09,4.16,2.73,4.94,3.57,3.77,3.15,1.71,1.36
Region 1: Ilocos Region,3.93,3.76,3.09,3.6,3.78,3.36,3.1,1.92,1.13,1.13,4.64,4.52,3.71,4.38,4.46,4.1,3.66,2.37,1.3,1.41,3.15,2.92,2.41,2.75,3.02,2.53,2.48,1.42,0.93,0.83
Region 2: Cagayan Valley,4.72,4.95,4.3,4.81,4.95,4.73,3.93,2.42,2.61,1.74,6.09,6.09,5.24,6.04,6.07,5.77,4.81,3.09,3.2,2.42,3.21,3.71,3.28,3.45,3.71,3.59,2.97,1.67,1.96,0.98
Region 3: Central Luzon,3.69,3.97,3.94,3.72,4.15,4.07,3.71,1.9,2.28,1.45,4.56,4.85,4.75,4.65,5.19,4.9,4.46,2.37,2.77,1.93,2.74,3.02,3.05,2.7,3.02,3.17,2.89,1.37,1.74,0.93
Region 4A: CALABARZON,3.9,4.41,3.87,2.57,3.75,2.46,3.26,6.03,1.55,1.76,4.85,5.5,4.8,4.2,4.86,3.7,4.26,6.85,1.85,2.21,2.88,3.21,2.87,1.78,2.55,1.83,1.71,5.13,1.22,1.54
MIMAROPA: Southwestern Tagalog Region,6.7,7.4,6.4,6.93,6.25,6.13,5.87,4.73,2.78,1.66,8.09,8.4,7.46,8.08,7.56,7.27,7.06,5.52,3.24,2.35,5.18,6.29,5.23,5.64,4.79,4.86,4.52,3.84,2.25,0.89
Region 5: Bicol Region,6.06,5.78,5.9,5.8,5.79,5.7,5.35,3.19,2.72,2.54,7.21,6.83,6.96,6.83,6.91,6.8,6.37,3.88,3.21,3.09,4.78,4.61,4.71,4.63,4.51,4.46,4.17,2.39,2.16,1.92
Region 6: Western Visayas,6.38,6.14,6.03,6.05,6.56,5.64,4.8,2.91,1.97,1.76,7.96,7.65,7.4,7.52,8.05,6.95,5.99,3.62,2.36,2.4,4.61,4.45,4.49,4.4,4.88,4.17,3.46,2.1,1.54,1.02
Region 7: Central Visayas,5.0,4.65,4.59,4.78,4.82,4.23,4.19,2.88,2.68,1.85,6.27,5.9,5.7,6.1,6.03,5.47,5.42,3.67,3.36,2.89,3.56,3.25,3.34,3.28,3.44,2.83,2.79,1.97,1.91,1.07
Region 8: Eastern Visayas,8.03,6.99,6.51,7.19,6.42,7.97,5.84,4.0,2.76,2.01,9.82,8.44,8.06,8.72,7.8,9.42,7.02,4.94,3.28,2.7,6.11,5.43,4.83,5.5,4.89,6.35,4.53,2.94,2.17,1.22
Region 9: Zamboanga Peninsula,10.4,9.89,10.27,10.21,10.41,9.91,11.5,9.25,1.22,3.73,12.45,11.6,12.01,12.1,12.25,11.77,13.14,10.26,1.6,4.49,8.2,8.04,8.38,8.15,8.41,7.87,9.69,8.12,0.86,2.87
Region 10: Northern Mindanao,8.07,7.23,7.28,8.44,7.95,8.74,8.85,6.15,3.62,3.0,9.66,8.67,8.67,10.29,9.53,10.33,10.16,7.32,4.3,3.9,6.33,5.66,5.76,6.4,6.23,6.99,7.39,4.82,2.87,1.99
Region 11: Davao Region,10.49,8.26,9.09,8.12,8.8,9.35,8.58,5.28,3.48,1.9,12.17,9.93,10.89,9.95,10.63,11.16,10.2,6.4,4.11,2.72,8.67,6.45,7.13,6.11,6.77,7.34,6.77,4.02,2.76,0.99
Region 12: SOCCSKSARGEN,8.87,8.29,8.33,9.16,8.9,8.59,7.94,5.82,1.14,3.15,10.3,9.75,9.92,10.92,10.28,10.13,9.26,6.92,1.95,3.87,7.37,6.75,6.65,7.28,7.43,6.94,6.51,4.62,0.64,2.37
CARAGA: Cordillera Administrative Region,8.53,6.42,6.62,8.07,6.72,8.05,6.47,4.07,2.28,2.84,10.27,7.95,7.91,9.89,8.22,9.8,8.11,5.13,3.56,3.47,6.62,4.73,5.19,6.06,5.04,6.1,4.64,2.89,1.71,2.14
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,19.76,15.77,17.99,18.63,18.1,22.72,23.81,14.04,19.02,17.17,22.69,17.37,19.21,20.62,19.37,23.26,24.93,15.0,19.53,18.33,16.95,14.28,16.87,16.8,16.95,22.22,22.78,13.17,18.54,16.04
